ID,土地面積,移轉層次,總樓層數,屋齡,建物面積,車位面積,車位個數,橫坐標,縱坐標,主建物面積,陽台面積,附屬建物面積,站點數,高度壞地標數,中度壞地標數,輕度壞地標數,bad_score,公園圖書館,金融機構數,學生教職員總人數,縣市_鄉鎮市區,web單價元坪_mean_2018_2020,web單價元坪_min_2018_2020,web總價元_min_2018_2020,總面積,頂樓,電梯,縣市,路名,使用分區,主要用途,主要建材,region,直轄市,建物型態2
TR-1,-0.2567159967515666,11,11,32.583333333333336,-0.1741537284238003,-0.8193256863726953,0.0,305266,2768378,0.3939259499634779,0.183700022167676,-0.4384519028208025,546.0,,,,,,35.0,40566.0,10,873438.8425184999,299960.77302,4000000,-0.8097793926288196,1,1,台北市,敦化南路二段,None,住家用,其他,北部,capital,住宅大樓
TR-2,0.100134331793684,7,12,24.166666666666668,0.314203765308399,-0.8193256863726953,0.0,300677,2767990,-0.3161312262019611,0.6085771302556623,-0.4384519028208025,244.0,,,,,,4.0,20359.0,9,529551.189519,152720.88642,510000,0.10345520919136597,0,1,台北市,水源路,None,住家用,其他,北部,capital,住宅大樓
TR-3,0.1819205432726367,10,15,6.166666666666667,0.4233660286132435,0.1616243247560272,1.0,184815,2504666,-0.0988707037736512,-0.3606204496398243,1.5258812313511467,74.0,0.0,0.0,1.0,1.1,1.0,2.0,13359.0,5,159582.78648305812,41560.39188,200000,0.22436990372944643,0,1,高雄市,北忠街,None,集合住宅,其他,南部,municipality,住宅大樓
TR-4,0.0855940267849369,9,14,8.833333333333334,0.1642492878212176,0.5246530690320114,1.0,296653,2772355,-0.0711473558596224,0.3150877222591419,0.2319835364509276,209.0,,,,,3.0,15.0,32882.0,8,372336.1201893309,113735.70495,500000,1.0039900791123708,0,1,新北市,福前街,None,集合住宅,其他,北部,municipality,住宅大樓
TR-5,-0.9381155465168516,41,43,11.0,0.9858389537471534,0.5323770848676707,1.0,297377,2768472,0.7919540164434673,1.7194004128471445,-0.4384519028208025,357.0,0.0,0.0,2.0,2.2,6.0,30.0,27524.0,8,440518.4146919181,95104.27251,1080000,3.2376164514619683,0,1,新北市,文化路一段,None,住家用,鋼骨造,北部,municipality,住宅大樓
TR-6,0.2605102910058646,2,12,39.333333333333336,-0.411438016554857,-0.8193256863726953,0.0,301365,2768583,-0.3712950307247742,-0.6182768485204907,-0.4384519028208025,467.0,,,,,,3.0,25200.0,9,529551.189519,152720.88642,510000,-1.8490405514480428,0,1,台北市,國興路,None,住家用,其他,北部,capital,住宅大樓
TR-7,0.8564224607445157,2,4,46.0,-0.8687704459793637,-0.8193256863726953,0.0,292687,2763850,-0.2454083998906624,-1.6420771089734696,-0.4384519028208025,257.0,0.0,0.0,3.0,3.3000000000000003,2.0,15.0,18738.0,7,263833.84560817044,135008.4636,1680000,-3.3301732413255287,0,0,新北市,信義街,None,住家用,其他,北部,municipality,公寓
TR-8,-0.618421104820399,7,13,17.0,-0.4683173011189603,-0.8193256863726953,0.0,271007,2756216,-0.4451296613937701,-0.3418507781981864,-0.1907751163382525,119.0,0.0,0.0,1.0,1.1,2.0,,7244.0,4,155176.814296861,55715.78466,250000,-1.6294937656898418,0,1,桃園市,中庸路,None,住家用,其他,北部,municipality,住宅大樓
TR-9,0.7361585165068786,5,5,42.833333333333336,-0.4229287811132617,-0.8193256863726953,0.0,303269,2765580,-0.1093376820677236,1.9139224623332105,-0.4384519028208025,188.0,,,,,1.0,3.0,31021.0,8,473984.99774213246,185405.23215,600000,0.6716679948472535,1,0,新北市,民樂街,None,住家用,其他,北部,municipality,公寓
TR-10,-0.3265094607935527,15,15,6.333333333333333,-0.5183021269480205,1.1147678788763766,1.0,273749,2758835,-0.7778098363621193,-0.5039524861032414,-0.1630182350945183,76.0,0.0,0.0,1.0,1.1,3.0,,18465.0,6,199884.98922961007,0.0,66000,0.09251326582511477,1,1,桃園市,龍仁路,None,集合住宅,其他,北部,municipality,住宅大樓
TR-11,-0.3333109588389669,5,13,28.75,-0.3039993679337732,1.4901550484894155,1.0,292757,2772935,-0.0063652469584726,0.0147729791929347,-0.3231540884237535,348.0,,,,,2.0,4.0,12411.0,7,267580.40667731856,135372.1005,670000,1.200928659748577,0,1,新北市,泰林路二段,None,住家用,其他,北部,municipality,住宅大樓
TR-12,-0.8230188181087694,8,14,29.5,-0.3855837962984463,-0.8193256863726953,0.0,216486,2667851,-0.353755769799572,0.0949706662617512,-0.4384519028208025,117.0,,,,,,,17796.0,6,186879.59205251132,43057.91475,300000,-1.1099388164093904,0,1,台中市,五權南路,None,住家用,其他,中部,others,住宅大樓
TR-13,-0.136019448397967,4,5,33.916666666666664,-0.2907849886916075,-0.8193256863726953,0.0,303912,2779315,-0.0915155298372764,0.7416711641145498,-0.4384519028208025,390.0,,,,,,12.0,15949.0,9,583698.6213966731,0.0,76230,-0.368439510949753,0,0,台北市,中山北路七段,None,住家用,其他,北部,capital,公寓
TR-14,0.1009514729016135,5,25,7.166666666666667,2.1113593422428925,1.34339874761189,2.0,213748,2671323,1.7291729107207985,0.6000454614185544,1.0732305526071753,259.0,,,,,,26.0,27819.0,7,250634.75247251982,51583.54716,760000,4.054803551273337,0,1,台中市,向上路二段,None,住家用,鋼骨造,中部,others,住宅大樓
TR-15,-1.1749182328824468,17,18,21.166666666666668,-0.9561002566232392,-0.2987270190492629,1.0,305635,2760725,-0.7959148798978117,-0.4374054691737978,-0.011422960609509,120.0,,,,,,1.0,6541.0,8,357255.05976273585,38816.58618,110841,-1.6922327448463,0,1,新北市,北宜路二段,None,住家用,鋼骨造,北部,municipality,住宅大樓
TR-16,1.1998139945709263,3,12,26.58333333333333,-0.309170211985055,-0.8193256863726953,0.0,307965,2765089,-0.1721395518321568,0.4874274327687266,0.9301758569663924,708.0,,,,,,10.0,13621.0,9,503769.88488196855,143626.65813,1200000,-0.6410684655890239,0,1,台北市,新光路一段,None,住家用,其他,北部,capital,住宅大樓
TR-17,-0.1178020084035368,10,12,30.33333333333333,0.0872611652799064,-0.8193256863726953,0.0,210831,2675172,0.4584251675593824,0.3236193910962499,-0.4384519028208025,290.0,,,,,,11.0,10299.0,7,231131.64463604832,27609.95808,600000,-0.4084451299965391,0,1,台中市,工業區一路,None,住家用,其他,中部,others,住宅大樓
TR-18,-1.078615749956745,13,18,5.083333333333333,-0.7061761274779373,-0.8193256863726953,0.0,292103,2768931,-0.928308010752563,-1.1608909865605694,0.0910639855212011,309.0,0.0,0.0,2.0,2.2,2.0,13.0,17421.0,8,372336.1201893309,113735.70495,500000,-2.686392800411202,0,1,新北市,天祥街,None,集合住宅,其他,北部,municipality,住宅大樓
TR-19,-0.592368723614644,4,14,27.5,-0.5246220474551434,-0.8193256863726953,0.0,312552,2766008,-0.4451296613937701,-0.2309390833157804,-0.0199635394537349,133.0,,,,,,1.0,1035.0,7,276913.96082268294,102373.70472,1880000,-1.5748868171436192,0,1,新北市,文化街,None,住家用,其他,北部,municipality,住宅大樓
TR-20,-0.4598476627580631,10,16,28.25,-0.2172440955178179,0.944839530491874,1.0,295953,2763944,0.2411646451310728,-0.0517740377365089,-0.2975323518910757,256.0,,,,,,8.0,23148.0,8,357698.07923593547,134122.51188,1600000,0.6758213972375472,0,1,新北市,裕民路,None,住家用,其他,北部,municipality,住宅大樓
TR-21,0.2740652199726967,9,14,15.166666666666666,0.664672084339742,0.3840759808230132,1.0,287719,2760030,0.5911011897193791,0.0608439909133187,0.2874972989383961,377.0,,,,,1.0,4.0,13188.0,7,250846.64241096022,113160.49749,1400000,1.109592056076074,0,1,新北市,大觀路,None,住家用,其他,北部,municipality,住宅大樓
TR-22,0.6884759295029875,2,5,32.166666666666664,-0.147150431711549,-0.8193256863726953,0.0,291632,2766676,0.5251875155972483,0.7928611771371986,-0.4384519028208025,111.0,0.0,0.0,2.0,2.2,2.0,4.0,19507.0,7,263833.84560817044,135008.4636,1680000,-0.17361494094704566,0,0,新北市,保安街二段,None,住家用,其他,北部,municipality,公寓
TR-23,0.3054049848179962,2,9,7.833333333333333,0.3641885911374593,1.3279507159405717,3.0,303452,2769440,-0.2884078782879319,-0.3725647860117757,1.423394285220436,629.0,,,,,,36.0,42583.0,10,873438.8425184999,299960.77302,4000000,1.3195745210662553,0,1,台北市,永康街,None,住家用,其他,北部,capital,華廈
TR-24,0.3547699211617421,5,5,42.66666666666666,-1.0060850824522998,-0.8193256863726953,0.0,176668,2504317,-0.6114697488779446,-1.6420771089734696,0.6376610315516564,165.0,,,,,3.0,4.0,15387.0,5,165756.72545176197,34981.86978,250000,-3.4674878777984643,1,0,高雄市,市中一路,None,其他,其他,南部,municipality,公寓
TR-25,-0.4050992085267808,3,9,19.25,-0.3195119000876193,0.4226960600013094,1.0,280593,2767496,-0.4445638787832794,-0.111495719596266,0.0569016701442973,210.0,0.0,0.0,1.0,1.1,2.0,30.0,17058.0,6,213937.84135319048,47193.45804,200000,-0.008311559682575936,0,1,桃園市,同安街,None,住家用,其他,北部,municipality,華廈
TR-26,0.5837857334400087,3,4,40.5,-0.5418581942927503,-0.8193256863726953,0.0,299635,2774869,-0.1806262909895126,1.1767862748070657,-0.4384519028208025,279.0,,,,,5.0,12.0,28585.0,8,393729.7417472918,207375.51249,1160000,-0.18439760585837983,0,0,新北市,仁愛街,None,其他,其他,北部,municipality,公寓
TR-27,-0.12960248734452,6,7,41.25,0.132649685285605,-0.8193256863726953,0.0,306167,2769827,0.4343794066135409,1.7501144206607335,-0.4384519028208025,611.0,,,,,,65.0,41671.0,10,873438.8425184999,299960.77302,4000000,1.0634384195736433,0,1,台北市,光復南路,None,住家用,其他,北部,capital,華廈
TR-28,-1.0768132328069002,4,22,6.583333333333333,-0.4798080656773649,-0.8193256863726953,0.0,297388,2768742,-0.7464089014799027,-0.1831617378279745,-0.4384519028208025,335.0,0.0,0.0,2.0,2.2,4.0,26.0,25234.0,8,440518.4146919181,95104.27251,1080000,-1.4822954898780347,0,1,新北市,文化路二段,None,住家用,鋼骨造,北部,municipality,住宅大樓
TR-29,0.9324406173439654,20,23,6.0,0.6060691850918781,0.580265983048758,1.0,278407,2757642,0.4018469065103434,0.4242930833741261,-0.4384519028208025,172.0,,,,,,1.0,4365.0,5,174782.22630230145,84320.78553,600000,1.6106282515147623,0,1,桃園市,建德路,None,集合住宅,其他,北部,municipality,住宅大樓
TR-30,-0.6384170284026762,5,7,28.666666666666668,-0.6872163659565695,-0.8193256863726953,0.0,291938,2763890,-0.710764597019008,-0.9356549292609142,-0.1523425115392358,269.0,0.0,0.0,2.0,2.2,2.0,10.0,14150.0,7,263833.84560817044,135008.4636,1680000,-2.442196981590179,0,1,新北市,東榮街,None,住家用,其他,北部,municipality,華廈
TR-31,-0.1534918479704614,5,12,29.0,0.0096985045106746,-0.1380674896675508,1.0,210676,2674260,0.2694537756555923,-0.0108220273183897,0.1273614456091611,42.0,,,,,,2.0,13135.0,7,231131.64463604832,27609.95808,600000,-0.13919101247526589,0,1,台中市,工業區一路,None,住家用,其他,中部,others,住宅大樓
TR-32,0.6191150695769644,4,4,42.16666666666666,-0.5889703289822094,-0.8193256863726953,0.0,309418,2773288,-0.1039627472680649,0.2468343715622765,-0.4384519028208025,625.0,,,,,,15.0,26791.0,9,573644.278211897,159967.1781,3000000,-1.1614616437926282,1,0,台北市,成功路二段,None,住家用,其他,北部,capital,公寓
TR-33,-0.2433052691567222,3,12,35.25,0.4446239430462925,-0.8193256863726953,0.0,177304,2502806,0.8358021687564725,0.6358784705344085,-0.4384519028208025,303.0,0.0,0.0,1.0,1.1,7.0,20.0,13268.0,6,203479.8629445122,50770.32282,250000,0.26117672720800567,0,1,高雄市,民生二路,None,其他,其他,南部,municipality,住宅大樓
TR-34,-1.0099758968906596,10,12,32.166666666666664,-0.406841710731495,-0.8193256863726953,0.0,304609,2768686,-0.0635092906180019,-0.5722058368001067,-0.4384519028208025,567.0,,,,,,44.0,41996.0,10,873438.8425184999,299960.77302,4000000,-1.798373233904297,0,1,台北市,和平東路二段,None,住家用,其他,北部,capital,住宅大樓
TR-35,1.176621607242925,4,14,6.666666666666667,0.9398758955135345,2.183771670531615,2.0,270742,2766664,0.5495161678483351,-0.1370907261075905,2.4418583123943702,70.0,,,,,5.0,1.0,2058.0,6,199884.98922961007,0.0,66000,2.986556839937559,0,1,桃園市,公園路二段,None,集合住宅,其他,北部,municipality,住宅大樓
TR-36,-0.3257163532476212,3,5,40.833333333333336,-0.9313951128226692,-0.8193256863726953,0.0,310486,2775727,-0.6148644445408871,-0.0312980325274495,-0.4384519028208025,273.0,,,,,,10.0,16021.0,9,573644.278211897,159967.1781,3000000,-1.7820188317228138,0,0,台北市,大湖山莊街,None,住家用,其他,北部,capital,公寓
